time,discharge
2015-03-30 17:45:00,52.569
2015-03-30 18:00:00,53.0658
2015-03-30 18:15:00,53.8728
2015-03-30 18:30:00,53.9747
2015-03-30 18:45:00,54.6947
2015-03-30 19:00:00,55.7431
2015-03-30 19:15:00,56.4908
2015-03-30 19:30:00,56.169
2015-03-30 19:45:00,57.0319
2015-03-30 20:00:00,57.1408
2015-03-30 20:15:00,57.1408
2015-03-30 20:30:00,57.5788
2015-03-30 20:45:00,57.9097
2015-03-30 21:00:00,58.3542
2015-03-30 21:15:00,58.9151
2015-03-30 21:30:00,58.6901
2015-03-30 21:45:00,58.8025
2015-03-30 22:00:00,59.028
2015-03-30 22:15:00,58.3542
2015-03-30 22:30:00,57.1408
2015-03-30 22:45:00,57.9097
2015-03-30 23:00:00,57.6889
2015-03-30 23:15:00,57.6889
2015-03-30 23:30:00,57.9097
2015-03-30 23:45:00,57.5788
2015-03-31 00:00:00,58.0205
2015-03-31 00:15:00,57.7992
2015-03-31 00:30:00,57.1408
2015-03-31 00:45:00,57.7992
2015-03-31 01:00:00,58.0205
2015-03-31 01:15:00,57.9097
2015-03-31 01:30:00,57.6889
2015-03-31 01:45:00,57.9097
2015-03-31 02:00:00,58.2428
2015-03-31 02:15:00,57.9097
2015-03-31 02:30:00,57.9097
2015-03-31 02:45:00,58.0205
2015-03-31 03:00:00,58.2428
2015-03-31 03:15:00,58.2428
2015-03-31 03:30:00,57.7992
2015-03-31 03:45:00,58.0205
2015-03-31 04:00:00,58.2428
2015-03-31 04:15:00,58.1315
2015-03-31 04:30:00,57.9097
2015-03-31 04:45:00,58.3542
2015-03-31 05:00:00,57.3593
2015-03-31 05:15:00,58.0205
2015-03-31 05:30:00,57.5788
2015-03-31 05:45:00,57.7992
2015-03-31 06:00:00,57.5788
2015-03-31 06:15:00,58.1315
2015-03-31 06:30:00,58.0205
2015-03-31 06:45:00,57.6889
2015-03-31 07:00:00,56.9232
2015-03-31 07:15:00,57.0319
2015-03-31 07:30:00,57.25
2015-03-31 07:45:00,57.5788
2015-03-31 08:00:00,56.7066
2015-03-31 08:15:00,56.8148
